Dec 30 01:16:28 raspberrypi systemd[1]: Created slice system-kmsconvt.slice - Slice /system/kmsconvt.
Dec 30 01:16:32 raspberrypi systemd[1]: Started kmsconvt@tty1.service - KMS System Console on tty1.
Dec 30 01:16:38 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_open_helper [drm]] comm="kmscon", pid=661, minor=0
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_GETPROPERTY
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_GETPROPERTY
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_GETPROPERTY
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_SETPROPERTY
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_GETRESOURCES
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_GETRESOURCES
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_GETCONNECTOR
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_GETCONNECTOR
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_GETENCODER
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_GETCRTC
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_CREATE_DUMB
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_ADDFB
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_MAP_DUMB
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_CREATE_DUMB
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_ADDFB
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_MAP_DUMB
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_SETCRTC
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_GETCONNECTOR
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_GETCONNECTOR
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_GETPROPERTY
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_GETPROPERTY
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_GETPROPERTY
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_GETPROPERTY
Dec 30 01:16:40 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_SETPROPERTY
Dec 30 01:16:41 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:16:41 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:16:41 raspberrypi kmscon[661]: [0002.556298] WARNING: video_fbdev: cannot read monitor refresh rate, forcing 60 Hz (display_activate_force() in ../src/uterm_fbdev_video.c:285)
Dec 30 01:16:41 raspberrypi kmscon[661]: [0002.559402] WARNING: video_fbdev: cannot read monitor refresh rate, forcing 60 Hz (display_activate_force() in ../src/uterm_fbdev_video.c:285)
Dec 30 01:16:41 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:16:41 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:17:57 raspberrypi sudo[1442]:      nc4 : TTY=pts/2 ; PWD=/home/nc4/TouchscreenApparatus ; USER=root ; COMMAND=/usr/bin/journalctl -u kmsconvt@tty1.service --no-pager
Dec 30 01:18:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:18:01 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:18:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:18:01 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:19:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:19:01 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:19:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:19:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:20:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:20:01 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:20:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:20:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:21:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:21:01 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:21:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:21:01 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:22:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:22:01 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:22:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:22:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:23:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:23:01 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:23:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:23:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:24:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:24:01 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:24:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:24:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:25:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:25:01 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:25:02 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:25:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:26:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:26:01 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:26:02 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:26:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:27:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:27:01 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:27:02 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:27:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:28:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:28:01 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:28:02 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:28:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:29:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:29:01 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:29:02 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:29:02 raspberrypi kernel: nc4_ili9488 spi0.0: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe201, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
Dec 30 01:30:01 raspberrypi kernel: nc4_ili9488 spi0.1: [drm:drm_ioctl [drm]] comm="kmscon" pid=661, dev=0xe200, auth=1, DRM_IOCTL_MODE_PAGE_FLIP
